ID,NodeType,weight,x,y,label
Ordinary Differential Equation,0,1,0,0,Ordinary Differential Equation
Oscillation,0,1,0,0,Oscillation
Osmoprotectant,1,1,0,0,Osmoprotectant
Overfitting,1,1,0,0,Overfitting
Oxidative Phosphorylation,1,1,0,0,Oxidative Phosphorylation
Parasite Hosting,2,1,0,0,Parasite Hosting
Pathosystem,0,1,0,0,Pathosystem
Pearson Product-moment Correlation Coefficient,0,1,0,0,Pearson Product-moment Correlation Coefficient
Penalty Method,2,1,0,0,Penalty Method
Penicillin,2,1,0,0,Penicillin
Pentose Phosphate Pathway,2,1,0,0,Pentose Phosphate Pathway
PEP Group Translocation,3,1,0,0,PEP Group Translocation
Personalized Medicine,2,1,0,0,Personalized Medicine
Petri Net,0,1,0,0,Petri Net
Phenome,1,1,0,0,Phenome
Phloem,2,1,0,0,Phloem
Phosphoenolpyruvate Carboxykinase,1,1,0,0,Phosphoenolpyruvate Carboxykinase
Phosphorylation,3,1,0,0,Phosphorylation
Photophosphorylation,1,1,0,0,Photophosphorylation
Photosynthesis,2,1,0,0,Photosynthesis
Physiology,0,1,0,0,Physiology
Plasma Protein Binding,2,1,0,0,Plasma Protein Binding
Polyhedron,1,1,0,0,Polyhedron
Polyhydroxyalkanoates,1,1,0,0,Polyhydroxyalkanoates
Population Model,0,1,0,0,Population Model
Predicate Logic,0,1,0,0,Predicate Logic
Prediction Algorithms,0,1,0,0,Prediction Algorithms
Principal Component Analysis,0,1,0,0,Principal Component Analysis
Principle of Maximum Entropy,1,1,0,0,Principle of Maximum Entropy
Probabilistic Logic,1,1,0,0,Probabilistic Logic
Process Simulation,1,1,0,0,Process Simulation
Protein Biosynthesis,1,1,0,0,Protein Biosynthesis
Protein Expression,2,1,0,0,Protein Expression
Proteomics,2,1,0,0,Proteomics
Pseudomonas Putida,0,1,0,0,Pseudomonas Putida
Quadruple-precision Floating-point Format,2,1,0,0,Quadruple-precision Floating-point Format
Quantifier Elimination,2,1,0,0,Quantifier Elimination
Quantum Mechanics,0,1,0,0,Quantum Mechanics
Randomness,2,1,0,0,Randomness
Raw Material,2,1,0,0,Raw Material
Real Algebraic Geometry,2,1,0,0,Real Algebraic Geometry
Recombinant DNA,3,1,0,0,Recombinant DNA
Recombinant Protein Production,3,1,0,0,Recombinant Protein Production
Redox Cycling,2,1,0,0,Redox Cycling
Regularization (mathematics),2,1,0,0,Regularization (mathematics)
Renewable Fuels,1,1,0,0,Renewable Fuels
Resource Allocation,2,1,0,0,Resource Allocation
Resource Management,2,1,0,0,Resource Management
Respiration,2,1,0,0,Respiration
Reverse Krebs Cycle,1,1,0,0,Reverse Krebs Cycle
Rhizosphere,0,1,0,0,Rhizosphere
Robust Control,2,1,0,0,Robust Control
RuBisCO,1,1,0,0,RuBisCO
Saccharomyces Cerevisiae,1,1,0,0,Saccharomyces Cerevisiae
SBML,2,1,0,0,SBML
Scalability,2,1,0,0,Scalability
Scale-free Network,0,1,0,0,Scale-free Network
Scientific Progress,1,1,0,0,Scientific Progress
Second Law of Thermodynamics,2,1,0,0,Second Law of Thermodynamics
Second-order Cone Programming,0,1,0,0,Second-order Cone Programming
Serotype,0,1,0,0,Serotype
Shapley Value,2,1,0,0,Shapley Value
Signal Transduction,1,1,0,0,Signal Transduction
Simulated Annealing,2,1,0,0,Simulated Annealing
Simulation,2,1,0,0,Simulation
Singular Value Decomposition,1,1,0,0,Singular Value Decomposition
Sink (computing),1,1,0,0,Sink (computing)
Software Architecture,0,1,0,0,Software Architecture
Source Code,1,1,0,0,Source Code
Specification,0,1,0,0,Specification
Stable Isotope Ratio,0,1,0,0,Stable Isotope Ratio
Stationary State,0,1,0,0,Stationary State
Steady State,1,1,0,0,Steady State
Stochastic Differential Equation,0,1,0,0,Stochastic Differential Equation
Stochastic Game,2,1,0,0,Stochastic Game
Stochastic Simulation,0,1,0,0,Stochastic Simulation
Strain (chemistry),0,1,0,0,Strain (chemistry)
Streptomyces Coelicolor,1,1,0,0,Streptomyces Coelicolor
Streptomyces Lividans,1,1,0,0,Streptomyces Lividans
Stringent Response,3,1,0,0,Stringent Response
Subnet,0,1,0,0,Subnet
Subspace Topology,2,1,0,0,Subspace Topology
Substrate (chemistry),1,1,0,0,Substrate (chemistry)
Supercomputer,0,1,0,0,Supercomputer
Sustainability,0,1,0,0,Sustainability
Symbiosis,1,1,0,0,Symbiosis
Synthetic Biology,2,1,0,0,Synthetic Biology
Systematic Error,1,1,0,0,Systematic Error
Systems Analysis,0,1,0,0,Systems Analysis
Systems Biology,2,1,0,0,Systems Biology
Systems Biomedicine,0,1,0,0,Systems Biomedicine
Systems Medicine,1,1,0,0,Systems Medicine
Targeted Drug Delivery,0,1,0,0,Targeted Drug Delivery
Terpenoid,2,1,0,0,Terpenoid
Test Data Generation,2,1,0,0,Test Data Generation
Text Mining,0,1,0,0,Text Mining
Theory of Computation,1,1,0,0,Theory of Computation
Thermophile,1,1,0,0,Thermophile
Timeline,2,1,0,0,Timeline
Titer,0,1,0,0,Titer
Transcription Factor,0,1,0,0,Transcription Factor
Transcriptional Regulation,0,1,0,0,Transcriptional Regulation
Transcriptome,2,1,0,0,Transcriptome
Transformation,1,1,0,0,Transformation
Transposable Element,3,1,0,0,Transposable Element
Transposition (music),1,1,0,0,Transposition (music)
Transposon Mutagenesis,3,1,0,0,Transposon Mutagenesis
Trial And Error,1,1,0,0,Trial And Error
Uncertainty Quantification,0,1,0,0,Uncertainty Quantification
Vascular Bundle,1,1,0,0,Vascular Bundle
Vector Space,2,1,0,0,Vector Space
Virtual Screening,0,1,0,0,Virtual Screening
Virulence,0,1,0,0,Virulence
Visualization,2,1,0,0,Visualization
Web Server,2,1,0,0,Web Server
Whole Genome Sequencing,2,1,0,0,Whole Genome Sequencing
Xylitol,0,1,0,0,Xylitol
Yeast Metabolism,0,1,0,0,Yeast Metabolism
Yield (chemistry),2,1,0,0,Yield (chemistry)
