fromNode,toNode,value,interaction,selfLoop,label,guid
Penicillin,Cancer,1,,False,,1181
Penicillin,FluxBalanceAnalysis,2,,False,,1182
Scale-free Network,Computational Biology,2,,False,,1183
Scale-free Network,FluxBalanceAnalysis,2,,False,,1184
Branch-decomposition,Biochemistry,2,,False,,1185
Branch-decomposition,FluxBalanceAnalysis,2,,False,,1186
Centrality,Bioinformatics,2,,False,,1187
Exponential Growth,Ecology,1,,False,,1188
Exponential Growth,FluxBalanceAnalysis,2,,False,,1189
Enzyme Kinetics,Flux Balance Analysis,4,,False,,119
Metabolic Engineering,Human Genetics,2,,False,,1190
Human Genetics,FluxBalanceAnalysis,2,,False,,1191
Biotechnology,FluxBalanceAnalysis,2,,False,,1192
Biodegradation,Text Mining,1,,False,,1193
Biodegradation,FluxBalanceAnalysis,2,,False,,1194
PEP Group Translocation,Genetics,2,,False,,1195
PEP Group Translocation,FluxBalanceAnalysis,4,,False,,1196
Phosphorylation,PEP Group Translocation,2,,False,,1197
Phosphorylation,FluxBalanceAnalysis,2,,False,,1198
Metabolic Engineering,Bioinformatics,22,,False,,12
Computer Science,Linear Programming,8,,False,,120
Integer Programming,Computer Science,1,,False,,121
Integer Programming,Flux Balance Analysis,2,,False,,122
Fluxomics,Ecology,6,,False,,123
Bioprocess,Biochemistry,6,,False,,124
Bioprocess,Flux Balance Analysis,12,,False,,125
Lipid Metabolism,Metabolomics,2,,False,,126
Biochemistry,Bioinformatics,18,,False,,127
Drug Development,Bioinformatics,5,,False,,128
Drug Development,Flux Balance Analysis,6,,False,,129
Metabolic Engineering,Flux Balance Analysis,152,,False,,13
Implementation,Computer Science,2,,False,,130
Implementation,Flux Balance Analysis,2,,False,,131
Biofuel,Biochemistry,6,,False,,132
Sink (computing),Botany,1,,False,,133
Sink (computing),Flux Balance Analysis,2,,False,,134
Nitrogen Assimilation,Flux Balance Analysis,4,,False,,135
Pentose Phosphate Pathway,Nitrogen Assimilation,1,,False,,136
Pentose Phosphate Pathway,Flux Balance Analysis,24,,False,,137
Bioinformatics,Metabolism,6,,False,,138
Convergent Evolution,Botany,1,,False,,139
Metabolomics,Genetics,18,,False,,14
Convergent Evolution,Flux Balance Analysis,2,,False,,140
Substrate (chemistry),Biochemistry,1,,False,,141
Substrate (chemistry),Flux Balance Analysis,2,,False,,142
Pentose Phosphate Pathway,Biochemistry,22,,False,,143
Transcriptional Regulation,Flux Balance Analysis,6,,False,,144
Constrained Optimization,Transcriptional Regulation,1,,False,,145
Constrained Optimization,Flux Balance Analysis,4,,False,,146
Biophysics,Flux Balance Analysis,8,,False,,147
Function (biology),Biophysics,1,,False,,148
Function (biology),Flux Balance Analysis,2,,False,,149
Metabolomics,Flux Balance Analysis,48,,False,,15
Chromatography,Metabolic Engineering,3,,False,,150
Chromatography,Flux Balance Analysis,10,,False,,151
Network Analysis,Bioinformatics,6,,False,,152
Network Analysis,Flux Balance Analysis,16,,False,,153
RuBisCO,Biochemistry,8,,False,,154
RuBisCO,Flux Balance Analysis,6,,False,,155
Genetics,Biochemistry,8,,False,,156
Computer Science,Bioinformatics,20,,False,,157
Knowledge Base,Proteomics,2,,False,,158
Biological Network,Genetics,6,,False,,159
Experimental Data,Genetics,1,,False,,16
Biological Network,Flux Balance Analysis,16,,False,,160
Linear Programming,Chromatography,2,,False,,161
Microbial Ecology,Biochemistry,1,,False,,162
Microbial Ecology,Flux Balance Analysis,2,,False,,163
Metagenomics,Ecology,8,,False,,164
Metagenomics,Flux Balance Analysis,8,,False,,165
Software Architecture,Computer Science,2,,False,,166
Software Architecture,Flux Balance Analysis,2,,False,,167
Bioinformatics,Computational Biology,14,,False,,168
Nitrogen Cycle,Genetics,4,,False,,169
Experimental Data,Flux Balance Analysis,10,,False,,17
Nitrogen Cycle,Flux Balance Analysis,4,,False,,170
Biological Network,Biochemistry,2,,False,,171
Carbohydrate Metabolism,Genetics,2,,False,,172
Carbohydrate Metabolism,Flux Balance Analysis,2,,False,,173
Ecology,Steady State,8,,False,,174
Ecology,Biochemistry,6,,False,,175
Biochemistry,Botany,18,,False,,176
Metabolic Engineering,Metabolomics,6,,False,,177
Lipid Metabolism,Metabolic Engineering,4,,False,,178
Gene Knockout,Biochemistry,3,,False,,179
Bilevel Optimization,Flux Balance Analysis,4,,False,,18
Gene Knockout,Flux Balance Analysis,4,,False,,180
Bioprocess,Metabolic Engineering,8,,False,,181
Metabolomics,Whole Genome Sequencing,2,,False,,182
Whole Genome Sequencing,DNA Sequencing,4,,False,,183
Fluxomics,Bioinformatics,10,,False,,184
Metabolic Engineering,Biophysics,4,,False,,185
Cell Biology,Biology,1,,False,,186
Cell Biology,Flux Balance Analysis,2,,False,,187
Oxidative Phosphorylation,Bioinformatics,2,,False,,188
Oxidative Phosphorylation,Flux Balance Analysis,4,,False,,189
Biochemistry,Bilevel Optimization,1,,False,,19
Nucleotide Sugar,Chromatography,2,,False,,190
Nucleotide Sugar,Flux Balance Analysis,2,,False,,191
Biochemistry,Oxidative Phosphorylation,2,,False,,192
Heterotroph,Flux Balance Analysis,6,,False,,193
Compartmentalization (psychology),Heterotroph,1,,False,,194
Compartmentalization (psychology),Flux Balance Analysis,2,,False,,195
Polyhedron,Computer Science,1,,False,,196
Polyhedron,Flux Balance Analysis,2,,False,,197
Mathematics,Ecology,1,,False,,198
Mathematics,Flux Balance Analysis,20,,False,,199
Flux Balance Analysis,Biology,119,,False,,2
Biochemistry,Flux Balance Analysis,224,,False,,20
Glycolysis,Proteomics,2,,False,,200
Computational Biology,Biology,4,,False,,201
Multi-objective Optimization,Flux Balance Analysis,2,,False,,202
Metabolic Control Analysis,Multi-objective Optimization,1,,False,,203
Metabolic Control Analysis,Flux Balance Analysis,4,,False,,204
Gene Expression Profiling,Proteomics,2,,False,,205
Penalty Method,Computer Science,2,,False,,206
Penalty Method,Flux Balance Analysis,2,,False,,207
Nonlinear Programming,Biochemistry,1,,False,,208
Nonlinear Programming,Flux Balance Analysis,2,,False,,209
Ecology,Computational Biology,6,,False,,21
Autocatalysis,Genetics,2,,False,,210
Autocatalysis,Flux Balance Analysis,4,,False,,211
Lipid Metabolism,Biochemistry,2,,False,,212
Metabolomics,Biochemistry,8,,False,,213
Flux (metallurgy),Bioinformatics,3,,False,,214
Flux (metallurgy),Flux Balance Analysis,6,,False,,215
Isotopic Labeling,Metabolomics,1,,False,,216
Isotopic Labeling,Flux Balance Analysis,2,,False,,217
Protein Biosynthesis,Transcriptional Regulation,2,,False,,218
Protein Biosynthesis,Flux Balance Analysis,6,,False,,219
Ecology,Flux Balance Analysis,56,,False,,22
Reverse Krebs Cycle,Biofuel,2,,False,,220
Reverse Krebs Cycle,Flux Balance Analysis,4,,False,,221
Symbiosis,Ecology,1,,False,,222
Symbiosis,Flux Balance Analysis,4,,False,,223
Gene Expression Profiling,Genetics,4,,False,,224
Metabolic Engineering,Reverse Krebs Cycle,2,,False,,225
Gluconeogenesis,Genetics,2,,False,,226
Gluconeogenesis,Flux Balance Analysis,2,,False,,227
Vascular Bundle,Flux Balance Analysis,2,,False,,228
Transformation,Vascular Bundle,1,,False,,229
Genetics,Biology,12,,False,,23
Transformation,Flux Balance Analysis,2,,False,,230
Interconnectivity,Bioinformatics,2,,False,,231
Interconnectivity,Flux Balance Analysis,2,,False,,232
Metabolomics,Chromatography,2,,False,,233
Human Genetics,Genetics,2,,False,,234
Human Genetics,Flux Balance Analysis,2,,False,,235
Metabolic Engineering,Ecology,4,,False,,236
Heterotroph,Biochemistry,4,,False,,237
Completeness (statistics),Gene Expression Profiling,1,,False,,238
Completeness (statistics),Flux Balance Analysis,2,,False,,239
Agronomy,Biochemistry,2,,False,,24
Human Pathogen,Genetics,2,,False,,240
Mitochondrial Matrix,Flux Balance Analysis,2,,False,,241
Mitochondrion,Mitochondrial Matrix,1,,False,,242
Mitochondrion,Flux Balance Analysis,8,,False,,243
Biohydrogen,Biochemistry,2,,False,,244
Biohydrogen,Flux Balance Analysis,6,,False,,245
Glycolysis,Metabolomics,2,,False,,246
Metabolic Engineering,Recombinant DNA,4,,False,,247
Recombinant DNA,Flux Balance Analysis,4,,False,,248
Anabolism,Biochemistry,6,,False,,249
Agronomy,Flux Balance Analysis,2,,False,,25
Anabolism,Flux Balance Analysis,8,,False,,250
Biochemistry,Metabolic Network,2,,False,,251
Metabolic Network,Flux Balance Analysis,8,,False,,252
Lethality,Genetics,2,,False,,253
Lethality,Flux Balance Analysis,4,,False,,254
Normal Conditions,Metabolomics,2,,False,,255
Normal Conditions,Flux Balance Analysis,2,,False,,256
Bacterial Genome Size,DNA Sequencing,2,,False,,257
Bacterial Genome Size,Flux Balance Analysis,2,,False,,258
Botany,Metabolism,2,,False,,259
Metabolic Engineering,Biochemistry,78,,False,,26
Metabolomics,Steady State,4,,False,,260
Biofuel,Biology,4,,False,,261
Biohydrogen,Anaerobic Exercise,2,,False,,262
NAD+ Kinase,Biochemistry,3,,False,,263
NAD+ Kinase,Flux Balance Analysis,2,,False,,264
Microarray Analysis Techniques,Flux Balance Analysis,2,,False,,265
Model Organism,Microarray Analysis Techniques,1,,False,,266
Model Organism,Flux Balance Analysis,8,,False,,267
Photophosphorylation,Pentose Phosphate Pathway,1,,False,,268
Photophosphorylation,Flux Balance Analysis,4,,False,,269
Gene Expression Profiling,Flux Balance Analysis,12,,False,,27
Biochemistry,Computational Biology,8,,False,,270
Biohydrogen,Metabolic Engineering,2,,False,,271
Metabolic Engineering,Heterotroph,2,,False,,272
Model Organism,Genetics,6,,False,,273
Genetic Algorithm,Bioinformatics,4,,False,,274
Genetic Algorithm,Flux Balance Analysis,10,,False,,275
Process Simulation,Flux Balance Analysis,2,,False,,276
Streptomyces Coelicolor,Process Simulation,1,,False,,277
Streptomyces Coelicolor,Flux Balance Analysis,2,,False,,278
Metagenomics,Experimental Data,2,,False,,279
Gene Cluster,Gene Expression Profiling,1,,False,,28
Computer Science,Computation,4,,False,,280
A Priori And A Posteriori,Computer Science,1,,False,,281
A Priori And A Posteriori,Flux Balance Analysis,2,,False,,282
Biology,Metabolic Network,2,,False,,283
Steady State,Bioinformatics,4,,False,,284
Laws of Thermodynamics,Flux Balance Analysis,4,,False,,285
Complex Network,Laws of Thermodynamics,1,,False,,286
Complex Network,Flux Balance Analysis,2,,False,,287
Linear Combination,Flux Balance Analysis,6,,False,,288
Convex Analysis,Linear Combination,1,,False,,289
Gene Cluster,Flux Balance Analysis,2,,False,,29
Convex Analysis,Flux Balance Analysis,4,,False,,290
Metabolomics,Extracellular,2,,False,,291
Extracellular,Flux Balance Analysis,6,,False,,292
Stringent Response,Genetics,2,,False,,293
Stringent Response,Flux Balance Analysis,2,,False,,294
Metabolic Engineering,Botany,6,,False,,295
Network Analysis,Computer Science,4,,False,,296
Mathematics,Linear Programming,8,,False,,297
Directionality,Steady State,2,,False,,298
Directionality,Flux Balance Analysis,2,,False,,299
Fluxomics,Flux Balance Analysis,34,,False,,3
Genetics,Bioinformatics,30,,False,,30
Lethality,Bioinformatics,2,,False,,300
Auxotrophy,Genetics,4,,False,,301
Auxotrophy,Flux Balance Analysis,4,,False,,302
Equilibrium Constant,Biochemistry,2,,False,,303
Equilibrium Constant,Flux Balance Analysis,2,,False,,304
Strain (chemistry),Bioinformatics,1,,False,,305
Strain (chemistry),Flux Balance Analysis,6,,False,,306
Obligate,Symbiosis,2,,False,,307
Obligate,Flux Balance Analysis,2,,False,,308
Critical To Quality,Metabolic Engineering,1,,False,,309
Systems Biology,Biology,1,,False,,31
Critical To Quality,Flux Balance Analysis,2,,False,,310
Microbiology,Biology,5,,False,,311
Microbiology,Flux Balance Analysis,4,,False,,312
Nitrous Oxide,Flux Balance Analysis,2,,False,,313
Metabolic Network Modelling,Nitrous Oxide,1,,False,,314
Metabolic Network Modelling,Flux Balance Analysis,2,,False,,315
Arithmetic,Biology,1,,False,,316
Arithmetic,Flux Balance Analysis,2,,False,,317
Transposon Mutagenesis,Genetics,2,,False,,318
Transposon Mutagenesis,Flux Balance Analysis,2,,False,,319
Systems Biology,Flux Balance Analysis,2,,False,,32
Polyhydroxyalkanoates,Biochemistry,1,,False,,320
Polyhydroxyalkanoates,Flux Balance Analysis,2,,False,,321
Computational Problem,Autocatalysis,2,,False,,322
Computational Problem,Flux Balance Analysis,2,,False,,323
Environmental Stress,Flux Balance Analysis,2,,False,,324
Nitric Oxide Synthase,Environmental Stress,1,,False,,325
Nitric Oxide Synthase,Flux Balance Analysis,1,,False,,326
Climate Change,Flux Balance Analysis,2,,False,,327
Metabolic FluxAnalysis,Climate Change,1,,False,,328
Metabolic FluxAnalysis,Flux Balance Analysis,6,,False,,329
Lipid Metabolism,Biology,2,,False,,33
Extracellular,Bioinformatics,2,,False,,330
BioModels Database,Computer Science,1,,False,,331
BioModels Database,Flux Balance Analysis,2,,False,,332
Biological Network,Computer Science,4,,False,,333
Streptomyces Lividans,Flux Balance Analysis,1,,False,,334
Evolutionary Game Theory,Linear Programming,2,,False,,335
Evolutionary Game Theory,Flux Balance Analysis,4,,False,,336
Metabolic Engineering,Biofuel,10,,False,,337
Saccharomyces Cerevisiae,Pentose Phosphate Pathway,1,,False,,338
Saccharomyces Cerevisiae,Flux Balance Analysis,2,,False,,339
Lipid Metabolism,Flux Balance Analysis,14,,False,,34
Fluxomics,Biochemistry,8,,False,,340
Biochemistry,Enzyme Kinetics,4,,False,,341
Network Analysis,Experimental Data,2,,False,,342
Computational Model,Bioinformatics,1,,False,,343
Computational Model,Flux Balance Analysis,6,,False,,344
Scientific Progress,Ecology,1,,False,,345
Scientific Progress,Flux Balance Analysis,2,,False,,346
Metabolic Engineering,Fluxomics,10,,False,,347
Systematic Error,Computer Science,1,,False,,348
Systematic Error,Flux Balance Analysis,2,,False,,349
Metabolic Engineering,Genetics,18,,False,,35
Algorithm,Flux Balance Analysis,2,,False,,350
Monte Carlo Method,Algorithm,3,,False,,351
Monte Carlo Method,Flux Balance Analysis,6,,False,,352
Antimicrobial,Metabolic Engineering,2,,False,,353
Antimicrobial,Flux Balance Analysis,2,,False,,354
Visualization,Linear Programming,2,,False,,355
Visualization,Flux Balance Analysis,2,,False,,356
Electron Transport Chain,Metabolic Engineering,3,,False,,357
Electron Transport Chain,Flux Balance Analysis,2,,False,,358
Biophysics,Ecology,4,,False,,359
Chemical Industry,Biochemistry,4,,False,,36
Metabolomics,Bioinformatics,6,,False,,360
Niche Construction,Flux Balance Analysis,2,,False,,361
Evolutionary Biology,Niche Construction,1,,False,,362
Evolutionary Biology,Flux Balance Analysis,2,,False,,363
Whole Genome Sequencing,Biochemistry,2,,False,,364
Anabolism,Pentose Phosphate Pathway,2,,False,,365
Cell Culture,Protein Biosynthesis,1,,False,,366
Cell Culture,Flux Balance Analysis,2,,False,,367
Biochemistry,Strain (chemistry),8,,False,,368
Normal Distribution,Flux Balance Analysis,1,,False,,369
Chemical Industry,Flux Balance Analysis,4,,False,,37
Normal Distribution,Metabolic Network,1,,False,,370
Control Theory,Ecology,1,,False,,371
Control Theory,Flux Balance Analysis,2,,False,,372
Metabolic Engineering,Linear Programming,2,,False,,373
Renewable Fuels,Biofuel,2,,False,,374
Renewable Fuels,Flux Balance Analysis,4,,False,,375
Java Applet,Computer Science,2,,False,,376
Java Applet,Flux Balance Analysis,2,,False,,377
Network Analysis,Biochemistry,2,,False,,378
Applied Mathematics,Linear Programming,4,,False,,379
Whole Genome Sequencing,Flux Balance Analysis,10,,False,,38
Applied Mathematics,Flux Balance Analysis,2,,False,,380
Systems Biomedicine,Computational Biology,2,,False,,381
Systems Biomedicine,Flux Balance Analysis,2,,False,,382
Constrained Optimization,Metabolic Control Analysis,2,,False,,383
Graphical User Interface,Metabolic Engineering,1,,False,,384
Graphical User Interface,Flux Balance Analysis,2,,False,,385
Gene Expression Profiling,Biochemistry,2,,False,,386
Probabilistic Logic,Model Organism,1,,False,,387
Probabilistic Logic,Flux Balance Analysis,2,,False,,388
Linear Combination,Linear Programming,2,,False,,389
Open Reading Frame,Whole Genome Sequencing,3,,False,,39
DNA Sequencing,Genetics,4,,False,,390
Metabolomics,Biological Network,2,,False,,391
FluxBalanceAnalysis,RuBisCO,3,,False,,392
FluxBalanceAnalysis,Biochemistry,159,,False,,393
Pentose Phosphate Pathway,Lipid Metabolism,2,,False,,394
Pentose Phosphate Pathway,FluxBalanceAnalysis,16,,False,,395
Lipid Metabolism,FluxBalanceAnalysis,4,,False,,396
Metabolism,FluxBalanceAnalysis,22,,False,,397
Cell Growth,Biochemistry,1,,False,,398
Cell Growth,FluxBalanceAnalysis,2,,False,,399
Genetics,Fluxomics,3,,False,,4
Open Reading Frame,Flux Balance Analysis,4,,False,,40
Metabolic Engineering,FluxBalanceAnalysis,106,,False,,400
Integer,Computer Science,2,,False,,401
